Category	Descript
other	For the price of the room, we were very pleasantly surprised when we arrived.
other	This is a great game!!
other	The staff at hotel were extremely helpful and they booked our excursions.
bug	What a heap of you know what.
other	Breakfast was excellent, as was the coffee machine in the room.
other	The room was just our style.
other	Fone 100% Recovery Rate Gauranteed + 0% Phone &amp; PC connection rate + 0% Root Authorized Rate = 0% Recovery Rate
other	The staff were friendly and helpful.
bug	My experience was very poor.
other	The hotel is modern and tastefully decorated.
bug	The restaurant and breakfast - way below my expectations.
other	It's the perfect hotel and I would highly recommend it to anyone!
other	Staff lovely.
other	preferred by those who foolishly believe in overclocking, rave about ZoneAlarm, or the generally ignorant
other	Contrary to what its Terms of Service stipulates, Camfrog knowingly allows users to broadcast prerecorded videos on their webcams.
other	The decor is beautiful with such attention to detail.....
other	thank you softsonic
bug	She didn't inform us about breakfast , prepayment or anything..
bug	The hotel bar is a bit poor equipped.
other	Here in India and most other countries we don't have unlimited Internet.
other	Staff was amazing, very friendly and helpful.
other	Great value.
bug	Just avoid!!
other	During a weekend away with 3 girlfriends for my 50th Birthday we likes the look of the Palace hotel.
other	Nero have done it again, I didnt think it was possable to better Nero 9 but they have done it !
bug	-The person in the reception had a limited english.
bug	Wow this is really a waste of time.
bug	Not a good app.
other	I have tried this software and Hide IP Address from cfhimss.org
other	I had to keep ignoring it because I didn't want to ruin my holiday.
other	If we had known, we would have chosen the new building / room.
other	Front Desk Staff is very nice, room very clean.
other	Loved this hotel.
bug	Not working,
bug	Sometimes very chaotic service.
other	The rooftop pool and bar with lounge couches and cabanas can't be beat.
bug	Especially at sunset if there is more activity around the bar, it would be nice.
other	AIB app is infinitely better, fast, stable, and with more features.
other	There is nothing I didn't like.
bug	Its so unnecessary and I kinda hate it but whatever.
other	I like it very much becomes I can never remember my Spotify account or it would not let me sign in.
bug	We have been Hilton Diamond members for close to 10 years and I can say this is one of the worst hotels we've stayed in.
request	Are we ever getting the option of zooming in on profile pictures and the blurred borders for non-square images like whatsapp for Apple?
bug	The bitmoji app didn't work for my snap chat and once I finished it, it didn't save anything for me cause I was gonna make my bitmoji my picture for my account and I have no what happened.
bug	Rooms sound be sound proof!
other	The wifi service was going off and on (connection ) but were working well
bug	The wifi service was going off and on (connection ) but were working well
other	Rooms are chic and modern but a bit tight for a suite.
other	This message was showing in my desktop with Windows 7.
other	A lady at DD's Discount store told me about this app.
other	Very good location and reasonable priced.
other	There is a huge parking lot under the hotel which is helpful if you rent a car.
other	You can fly with your plane to everywhere you want
other	it is a good game
bug	The quilt was too warm.
bug	You have to do one job to do, and you failed it.
other	Very stylish and clean.
other	I recommend if you don't want to spend the big bucks next door at the Hilton.
undetermined	In Northern Ireland we have about 10 programmes to pick from...
bug	This is inefficient.
other	The product is named PDF to Kindle Convertor" on the webpage for writing a review.
